Id;Materia;Grupo;Nivel;Curso;Semestre;Tematica
1;Àlgebra Lineal;1;1;1;1;Algebra i Geometria
2;Càlcul en una Variable;2;1;1;1;Calcul i Equacions
3;Fonaments de Computadors;3;1;1;1;Sistemes i Seguretat Computacional
4;Iniciació a la Programació;4;1;1;1;Programacio de Software
5;Programari de Sistema;5;1;1;1;Algoritmia i Teoria de Jocs
6;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;5;2;1;2;Algoritmia i Teoria de Jocs
7;Càlcul en Diverses Variables;2;2;1;2;Calcul i Equacions
8;Càlcul Numèric;6;1;1;2;Metodes Numerics i Optimitzacio
9;Probabilitat;7;1;1;2;Probabilitat i Ciencia de Dades
10;Programació Orientada als Objectes;4;2;1;2;Programacio de Software
11;Bases de Dades Relacionals;8;1;2;1;Bases de Dades
12;Equacions Diferencials Ordinàries;2;3;2;1;Calcul i Equacions
13;Modelització i Inferència;7;2;2;1;Probabilitat i Ciencia de Dades
14;Tècniques de Disseny d'Algoritmes;5;3;2;1;Algoritmia i Teoria de Jocs
15;Visualització 3D;1;2;2;1;Algebra i Geometria
16;Anàlisi Complexa i de Fourier;2;4;2;2;Calcul i Equacions
17;Anàlisi de Dades Complexes;7;3;2;2;Probabilitat i Ciencia de Dades
18;Intel·ligència Artificial;9;1;2;2;Intel·ligencia Artificial i Aprenentatge Automatic
19;Mètodes Numèrics i Probabilístics;6;2;2;2;Metodes Numerics i Optimitzacio
20;Optimització;6;2;2;2;Metodes Numerics i Optimitzacio
21;Aprenentatge Computacional;9;2;3;1;Intel·ligencia Artificial i Aprenentatge Automatic
22;Computació i Simulació d'Altes Prestacions;6;3;3;1;Metodes Numerics i Optimitzacio
23;Equacions en Derivades Parcials;2;4;3;1;Calcul i Equacions
24;Física, Abstracció i Computació;10;1;3;1;Modelitzacio Fisica i Informacio
25;Teoria de la Informació;10;1;3;1;Modelitzacio Fisica i Informacio
26;Bases de Dades No Relacionals;8;2;3;2;Bases de Dades
27;Informació Quàntica;10;2;3;2;Modelitzacio Fisica i Informacio
28;Modelització i Simulació;10;2;3;2;Modelitzacio Fisica i Informacio
29;Sistemes Distribuïts i el Núvol;3;2;3;2;Sistemes i Seguretat Computacional
30;Xarxes Neuronals i Aprenentatge Profund;9;3;3;2;Intel·ligencia Artificial i Aprenentatge Automatic
31;Anàlisi de Dades Financeres;7;4;4;1;Probabilitat i Ciencia de Dades
32;Anàlisi de Dades Temporals;7;4;4;1;Probabilitat i Ciencia de Dades
33;Anàlisi Topològica de Dades;7;4;4;1;Probabilitat i Ciencia de Dades
34;Internet de les Coses;3;3;4;1;Sistemes i Seguretat Computacional
35;Mètodes d Anàlisi en Ciències de la Salut;8;3;4;1;Bases de Dades
36;Anàlisi de Dades en Astrofísica;7;4;4;2;Probabilitat i Ciencia de Dades
37;Bioinformàtica;7;4;4;2;Probabilitat i Ciencia de Dades
38;Informació i Seguretat;3;4;4;2;Sistemes i Seguretat Computacional
39;Teoria de Jocs;5;4;4;2;Algoritmia i Teoria de Jocs
40;Visió per Computador;9;4;4;2;Intel·ligencia Artificial i Aprenentatge Automatic
